species,mass,MW,GC
Aptenodytes forsteri,28.0,42459.60,48.38
Aptenodytes patagonicus,13.4,42563.71,49.69
Eudyptes chrysocome,2.8,42475.58,51.18
Eudyptes chrysolophus,4.5,42445.55,50.92
Eudyptes sclateri,4.25,42475.58,50.83
Eudyptula minor,1.6,42491.64,49.26
Pygoscelis adeliae,4.6,42458.61,49.08
Pygoscelis antarctica,4.1,42404.54,47.77
Pygoscelis papua,6.1,42595.88,47.16
Spheniscus demersus,3.2,42431.55,48.29
Spheniscus humboldti,4.75,42399.55,49.26
Spheniscus magellanicus,3.4,42459.60,48.21
